"name","alias_of","tlb","doc_category","doc_opcode","doc_fift","doc_stack","doc_gas","doc_description","","",""
"TRIPLE","TUPLE","#6F03","tuple","6F03","TRIPLE","x y z - t","29","트리플 `t:=(x,y,z)`를 생성합니다.","","",""
"INDEX","","#6F1 k:uint4","tuple","6F1k","[k] INDEX","t - x","26","튜플_ `t`의 `k`번째 요소를 반환합니다.
`0 <= k <= 15`.","","",""
"FIRST","INDEX","#6F10","tuple","6F10","FIRST
CAR","t - x","26","튜플_의 첫 번째 요소를 반환합니다.","","",""
"SECOND","INDEX","#6F11","tuple","6F11","SECOND
CDR","t - y","26","튜플_의 두 번째 요소를 반환합니다.","","",""
"THIRD","INDEX","#6F12","tuple","6F12","THIRD","t - z","26","튜플_의 세 번째 요소를 반환합니다.","","",""
"UNTUPLE","","#6F2 n:uint4","tuple","6F2n","[n] UNTUPLE","t - x_1 ... x_n","26+n","길이가 `0 <= n <= 15`인 _Tuple_ `t=(x_1,...,x_n)`를 언팩합니다.
t`가 _Tuple_이 아니거나 `|t| != n`이면, 타입 검사 예외가 발생합니다.","","",""
"UNSINGLE","UNTUPLE","#6F21","tuple","6F21","UNSINGLE","t - x","27","싱글톤 `t=(x)`를 언팩합니다.","","",""
"UNPAIR","UNTUPLE","#6F22","tuple","6F22","UNPAIR
UNCONS","t - x y","28","t=(x,y)` 쌍을 언팩합니다.","","",""
"UNTRIPLE","UNTUPLE","#6F23","tuple","6F23","UNTRIPLE","t - x y z","29","트리플 `t=(x,y,z)`의 포장을 해제합니다.","","",""
"UNPACKFIRST","","#6F3 k:uint4","tuple","6F3k","[k] UNPACKFIRST","t - x_1 ... x_k","26+k","튜플_ `t`의 첫 번째 `0 <= k <= 15` 요소를 언패킹합니다.
t|<k`이면, 타입 검사 예외를 던집니다.","","",""
"CHKTUPLE","UNPACKFIRST","#6F30","tuple","6F30","CHKTUPLE","t -","26","t`가 _Tuple_인지 확인합니다. 그렇지 않으면 타입 검사 예외를 던집니다.","","",""
"EXPLODE","","#6F4 n:uint4","tuple","6F4n","[n] EXPLODE","t - x_1 ... x_m m","26+m","튜플_ `t=(x_1,...,x_m)`의 포장을 풀고 길이 `m`을 반환하지만, `m <= n <= 15`인 경우에만 반환합니다. 그렇지 않으면 형 검사 예외를 던집니다.","","",""
"SETINDEX","","#6F5 k:uint4","tuple","6F5k","[k] SETINDEX","t x - t'","26+|t|","'x'로 설정된 위치 `t'_{k+1}`에서만 `t`와 다른 _Tuple_ `t'`를 계산합니다.
0 <= k <= 15`
`k >= |t|`이면 범위 검사 예외를 던집니다.","","",""
"SETFIRST","SETINDEX","#6F50","tuple","6F50","SETFIRST","t x - t'","26+|t|","Tuple_ `t`의 첫 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"SETSECOND","SETINDEX","#6F51","tuple","6F51","SETSECOND","t x - t'","26+|t|","Tuple_ `t`의 두 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"SETTHIRD","SETINDEX","#6F52","tuple","6F52","SETTHIRD","t x - t'","26+|t|","Tuple_ `t`의 세 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"INDEXQ","","#6F6 k:uint4","tuple","6F6k","[k] INDEXQ","t - x","26","튜플_ `t`의 `k`번째 요소를 반환하며, 여기서 `0 <= k <= 15`입니다. 즉, `t=(x_1,...,x_n)`이면 `x_{k+1}`를 반환합니다. k>=n`이거나 `t`가 _Null_이면 `x` 대신 _Null_을 반환합니다.","","",""
"FIRSTQ","INDEXQ","#6F60","tuple","6F60","FIRSTQ
CARQ","t - x","26","튜플_의 첫 번째 요소를 반환합니다.","","",""
"SECONDQ","INDEXQ","#6F61","tuple","6F61","SECONDQ
CDRQ","t - y","26","튜플_의 두 번째 요소를 반환합니다.","","",""
"THIRDQ","INDEXQ","#6F62","tuple","6F62","THIRDQ","t - z","26","튜플_의 세 번째 요소를 반환합니다.","","",""
"SETINDEXQ","","#6F7 k:uint4","tuple","6F7k","[k] SETINDEXQ","t x - t'","26+|t’|","튜플_ `t`의 `k`번째 성분을 `x`로 설정하고, 여기서 `0 <= k < 16`인 결과 _Tuple_ `t'`를 반환합니다.
`|t| <= k`이면 먼저 모든 새 컴포넌트를 _Null_로 설정하여 원래 _Tuple_을 길이 `n'=k+1`로 확장합니다. t`의 원래 값이 _Null_이면 빈 _Tuple_로 처리합니다. t`가 _Null_이나 _Tuple_이 아닌 경우 예외를 발생시킵니다. x`가 _Null_이고 `|t| <= k` 또는 `t`가 _Null_이면 항상 `t'=t`를 반환합니다(튜플 생성 가스를 소비하지 않습니다).","","",""
"SETFIRSTQ","SETINDEXQ","#6F70","tuple","6F70","SETFIRSTQ","t x - t'","26+|t’|","Tuple_ `t`의 첫 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"SETSECONDQ","SETINDEXQ","#6F71","tuple","6F71","SETSECONDQ","t x - t'","26+|t’|","Tuple_ `t`의 두 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"SETTHIRDQ","SETINDEXQ","#6F72","tuple","6F72","SETTHIRDQ","t x - t'","26+|t’|","Tuple_ `t`의 세 번째 컴포넌트를 `x`로 설정하고 결과 _Tuple_ `t'`를 반환합니다.","","",""
"TUPLEVAR","","#6F80","tuple","6F80","TUPLEVAR","x_1 ... x_n n - t","26+n","TUPLE`과 유사하지만 스택에서 `0 <= n <= 255`를 가져온 길이 `n`의 새로운 _Tuple_ `t`를 생성합니다.","","",""
"INDEXVAR","","#6F81","tuple","6F81","INDEXVAR","t k - x","26","k INDEX`와 유사하지만 스택에서 `0 <= k <= 254`를 가져옵니다.","","",""
"UNTUPLEVAR","","#6F82","tuple","6F82","UNTUPLEVAR","t n - x_1 ... x_n","26+n","n UNTUPLE`과 유사하지만 스택에서 `0 <= n <= 255`를 가져옵니다.","","",""
"UNPACKFIRSTVAR","","#6F83","tuple","6F83","UNPACKFIRSTVAR","t n - x_1 ... x_n","26+n","n UNPACKFIRST`와 유사하지만 스택에서 `0 <= n <= 255`를 가져옵니다.","","",""
"EXPLODEVAR","","#6F84","tuple","6F84","EXPLODEVAR","t n - x_1 ... x_m m","26+m","n EXPLODE`와 유사하지만 스택에서 `0 <= n <= 255`를 가져옵니다.","","",""
"SETINDEXVAR","","#6F85","tuple","6F85","SETINDEXVAR","t x k - t'","26+|t’|","k SETINDEX`와 유사하지만 스택에서 `0 <= k <= 254`를 가져옵니다.","","",""
"INDEXVARQ","","#6F86","tuple","6F86","INDEXVARQ","t k - x","26","n INDEXQ`와 유사하지만 스택에서 `0 <= k <= 254`를 가져옵니다.","","",""
"SETINDEXVARQ","","#6F87","tuple","6F87","SETINDEXVARQ","t x k - t'","26+|t’|","k SETINDEXQ`와 유사하지만 스택에서 `0 <= k <= 254`를 가져옵니다.","","",""
"TLEN","","#6F88","tuple","6F88","TLEN","t - n","26","튜플_의 길이를 반환합니다.","","",""
"QTLEN","","#6F89","tuple","6F89","QTLEN","t - n or -1","26","TLEN`과 유사하지만 `t`가 _Tuple_이 아닌 경우 `-1`을 반환합니다.","","",""
"ISTUPLE","","#6F8A","tuple","6F8A","ISTUPLE","t - ?","26","t`가 _Tuple_인지 여부에 따라 `-1` 또는 `0`을 반환합니다.","","",""
"LAST","","#6F8B","tuple","6F8B","LAST","t - x","26","비어 있지 않은 _Tuple_ `t`의 마지막 요소를 반환합니다.","","",""
"TPUSH","","#6F8C","tuple","6F8C","TPUSH
COMMA","t x - t'","26+|t’|","값 `x`를 _Tuple_ `t=(x_1,...,x_n)`에 추가하지만, 결과 _Tuple_ `t'=(x_1,...,x_n,x)`의 길이가 최대 255인 경우에만 추가합니다. 그렇지 않으면 형 검사 예외가 발생합니다.","","",""
"TPOP","","#6F8D","tuple","6F8D","TPOP","t - t' x","26+|t’|","비어 있지 않은 _Tuple_ `t=(x_1,...,x_n)`에서 마지막 요소 `x=x_n`을 분리하고 결과 _Tuple_ `t'=(x_1,...,x_{n-1})`와 원래 마지막 요소 `x`를 모두 반환합니다.","","",""
"NULLSWAPIF","","#6FA0","tuple","6FA0","NULLSWAPIF","x - x or null x","26","최상위 _정수_ `x` 아래에 _Null_을 푸시하지만, `x!=0`인 경우에만 푸시합니다.","","",""
"NULLSWAPIFNOT","","#6FA1","tuple","6FA1","NULLSWAPIFNOT","x - x or null x","26","최상위 _정수_ `x` 아래에 _Null_을 밀어넣지만, `x=0`일 경우에만 가능합니다. PLDUXQ`와 같은 조용한 프리미티브 뒤에 스택 정렬에 사용할 수 있습니다.","","",""
"NULLROTRIF","","#6FA2","tuple","6FA2","NULLROTRIF","x y - x y or null x y","26","위쪽에서 두 번째 스택 항목 아래로 _Null_을 밀어 넣지만, 맨 위 _정수_ `y`가 0이 아닌 경우에만 가능합니다.","","",""
"NULLROTRIFNOT","","#6FA3","tuple","6FA3","NULLROTRIFNOT","x y - x y or null x y","26","위쪽에서 두 번째 스택 항목 아래로 _Null_을 밀어넣지만, 맨 위 _Integer_ `y`가 0인 경우에만 가능합니다. LDUXQ`와 같은 조용한 프리미티브 뒤에 스택 정렬에 사용할 수 있습니다.","","",""
"NULLSWAPIF2","","#6FA4","tuple","6FA4","NULLSWAPIF2","x - x or null null x","26","최상위 _Integer_ `x` 아래에 두 개의 널을 푸시하지만, `x!=0`인 경우에만 가능합니다.
NULLSWAPIF` `NULLSWAPIF`와 동등합니다.","","",""
"NULLSWAPIFNOT2","","#6FA5","tuple","6FA5","NULLSWAPIFNOT2","x - x or null null x","26","최상위 _Integer_ `x` 아래에 두 개의 널을 밀어넣지만 `x=0`인 경우에만 가능합니다.
NULLSWAPIFNOT` `NULLSWAPIFNOT`와 동등합니다.","","",""
"NULLROTRIF2","","#6FA6","tuple","6FA6","NULLROTRIF2","x y - x y or null null x y","26","두 번째 스택 항목 아래에 두 개의 0을 위에서부터 밀어넣습니다. 단, 맨 위 _Integer_ `y`가 0이 아닌 경우에만 가능합니다.
NULLROTRIF` `NULLROTRIF`와 동등합니다.","","",""
"NULLROTRIFNOT2","","#6FA7","tuple","6FA7","NULLROTRIFNOT2","x y - x y or null null x y","26","두 번째 스택 항목 아래에 두 개의 널을 위에서부터 밀어넣습니다. 단, 맨 위 _Integer_ `y`가 0인 경우에만 가능합니다.
NULLROTRIFNOT` `NULLROTRIFNOT`와 동등합니다.","","",""
"INDEX2","","#6FB i:uint2 j:uint2","tuple","6FBij","[i] [j] INDEX2","t - x","26","0 <= i,j <= 3`에 대해 `x=(t_{i+1})_{j+1}`를 복구합니다.
i] INDEX` `[j] INDEX`와 동일합니다.","","",""
"CADR","INDEX2","#6FB4","tuple","6FB4","CADR","t - x","26","x=(t_2)_1`을 복구합니다.","","",""
"CDDR","INDEX2","#6FB5","tuple","6FB5","CDDR","t - x","26","x=(t_2)_2`를 복구합니다.","","",""
"INDEX3","","#6FE_ i:uint2 j:uint2 k:uint2","tuple","6FE_ijk","[i] [j] [k] INDEX3","t - x","26","x=t_{i+1}_{j+1}_{k+1}`를 복구합니다.
0 <= i,j,k <= 3`
`[i] [j] INDEX2` `[k] INDEX`에 해당합니다.","","",""
"CADDR","INDEX3","#6FD4","tuple","6FD4","CADDR","t - x","26","x=t_2_2_1`을 복구합니다.","","",""
"CDDDR","INDEX3","#6FD5","tuple","6FD5","CDDDR","t - x","26","x=t_2_2_2`를 복구합니다.","","",""
"PUSHINT_4","","#7 i:uint4","const_int","7i","[x] PUSHINT
[x] INT","- x","18","정수 `x`를 스택에 밀어 넣습니다. `-5 <= x <= 10`.
여기서 `i`는 `x`의 4번째 하위 비트와 같습니다(`i=x mod 16`).","","",""
"ZERO","PUSHINT_4","#70","const_int","70","ZERO
FALSE","- 0","18","","","",""
"ONE","PUSHINT_4","#71","const_int","71","ONE","- 1","18","","","",""
"TWO","PUSHINT_4","#72","const_int","72","TWO","- 2","18","","","",""
"TEN","PUSHINT_4","#7A","const_int","7A","TEN","- 10","18","","","",""
"TRUE","PUSHINT_4","#7F","const_int","7F","TRUE","- -1","18","","","",""
"PUSHINT_8","","#80 xx:int8","const_int","80xx","[xx] PUSHINT
[xx] INT","- xx","26","정수 `xx`를 푸시합니다. `-128 <= xx <= 127`.","","",""
"PUSHINT_16","","#81 xxxx:int16","const_int","81xxxx","[xxxx] PUSHINT
[xxxx] INT","- xxxx","34","정수 `xxxx`를 밀어 넣습니다. 2^15 <= xx < 2^15`.","","",""
"PUSHINT_LONG","","#82 l:(## 5) xxx:(int (8 * l + 19))","const_int","82lxxx","[xxx] PUSHINT
[xxx] INT","- xxx","23","정수 `xxx`를 푸시합니다.
세부 정보:_ 5비트 `0 <= l <= 30`은 부호 있는 빅 엔디안 정수 `xxx`의 길이 `n=8l+19`를 결정합니다.
이 명령의 총 길이는 `l+4` 바이트 또는 `n+13=8l+32` 비트입니다.","","",""
"PUSHPOW2","","#83 xx:uint8","const_int","83xx","[xx+1] PUSHPOW2","- 2^(xx+1)","26","(조용히) `0 <= xx <= 255`에 대해 `2^(xx+1)`를 밀어 넣습니다.
2^256`은 `NaN`입니다.","","",""
"PUSHNAN","PUSHPOW2","#83FF","const_int","83FF","PUSHNAN","- NaN","26","NaN`을 푸시합니다.","","",""
"PUSHPOW2DEC","","#84 xx:uint8","const_int","84xx","[xx+1] PUSHPOW2DEC","- 2^(xx+1)-1","26","0 <= xx <= 255`에 대해 `2^(xx+1)-1`을 푸시합니다.","","",""
"PUSHNEGPOW2","","#85 xx:uint8","const_int","85xx","[xx+1] PUSHNEGPOW2","- -2^(xx+1)","26","0 <= xx <= 255`에 대해 `-2^(xx+1)`를 푸시합니다.","","",""
"PUSHREF","","#88 c:^Cell","const_data","88","[ref] PUSHREF","- c","18","참조 `ref`를 스택으로 밀어 넣습니다.
세부 정보:_ `cc.code`의 첫 번째 참조를 스택에 _셀_로 밀어넣습니다(그리고 현재 연속에서 이 참조를 제거합니다).","","",""
"PUSHREFSLICE","","#89 c:^Cell","const_data","89","[ref] PUSHREFSLICE","- s","118/43","PUSHREF`와 유사하지만 셀을 _슬라이스_로 변환합니다.","","",""
"PUSHREFCONT","","#8A c:^Cell","const_data","8A","[ref] PUSHREFCONT","- cont","118/43","푸시레프슬라이스`와 비슷하지만 셀에서 단순한 일반 `연속`을 만듭니다.","","",""
"PUSHSLICE","","#8B x:(## 4) sss:((8 * x + 4) * Bit)","const_data","8Bxsss","[slice] PUSHSLICE
[slice] SLICE","- s","22","슬라이스 `슬라이스`를 스택으로 밀어 넣습니다.
_Details:_ `0 <= x <= 15`인 첫 번째 `8x+4` 비트와 참조가 없는 (즉, 본질적으로 비트 문자열) `cc.code`의 (접두사) 서브슬라이스를 밀어넣습니다.
완성 태그가 가정되며, 이는 모든 후행 0과 마지막 이진수 1(있는 경우)이 이 비트스트링에서 제거됨을 의미합니다.
원래 비트 문자열이 0으로만 구성된 경우 빈 슬라이스가 푸시됩니다.","","",""
"PUSHSLICE_REFS","","#8C r:(## 2) xx:(## 5) c:((r + 1) * ^Cell) ssss:((8 * xx + 1) * Bit)","const_data","8Crxxssss","[slice] PUSHSLICE
[slice] SLICE","- s","25","슬라이스 `슬라이스`를 스택으로 밀어 넣습니다.
_Details:_ 첫 번째 `1 <= r+1 <= 4` 참조와 최대 첫 번째 `8xx+1` 비트의 데이터로 구성된 `cc.code`의 (접두사) 서브 슬라이스를 `0 <= xx <= 31`로 푸시합니다.
완성 태그도 가정합니다.","","",""
"PUSHSLICE_LONG","","#8D r:(#<= 4) xx:(## 7) c:(r * ^Cell) ssss:((8 * xx + 6) * Bit)","const_data","8Drxxsssss","[slice] PUSHSLICE
[slice] SLICE","- s","28","슬라이스 `슬라이스`를 스택으로 밀어 넣습니다.
세부 정보:_ `0 <= r <= 4` 참조와 최대 `8xx+6` 비트의 데이터로 구성된 `cc.code`의 서브 슬라이스를 `0 <= xx <= 127`로 푸시합니다.
완성 태그가 가정됩니다.","","",""
"","","","const_data","","x{} PUSHSLICE
x{ABCD1234} PUSHSLICE
b{01101} PUSHSLICE","- s","","푸시슬라이스`의 예.
x{}`는 빈 슬라이스입니다. x{...}`는 16진수 리터럴입니다. b{...}`는 이진 리터럴입니다.
슬라이스 리터럴에 대한 자세한 내용은 [여기](https://github.com/Piterden/TON-docs/blob/master/Fift.%20A%20Brief%20Introduction.md#user-content-51-slice-literals) 참조.
어셈블러는 특정 상황(예: 현재 연속에 공간이 충분하지 않은 경우)에서 `PUSHSLICE`를 `PUSHREFSLICE`로 대체할 수 있다는 점에 유의하세요.","","",""
"","","","const_data","","<b x{AB12} s, b> PUSHREF
<b x{AB12} s, b> PUSHREFSLICE","- c/s","","푸시레프`와 `푸시레프슬라이스`의 예시.
5에서 셀을 만드는 방법에 대한 자세한 내용은 [여기](https://github.com/Piterden/TON-docs/blob/master/Fift.%20A%20Brief%20Introduction.md#user-content-52-builder-primitives) 참조하세요.","","",""
"PUSHCONT","","#8F_ r:(## 2) xx:(## 7) c:(r * ^Cell) ssss:((8 * xx) * Bit)","const_data","8F_rxxcccc","[builder] PUSHCONT
[builder] CONT","- c","26","builder`에서 만든 연속을 푸시합니다.
_Details:_ `cc.code`의 첫 번째 `0 <= r <= 3` 참조와 첫 번째 `0 <= xx <= 127` 바이트로 만든 단순 일반 연속 `cccc`를 푸시합니다.","","",""
